,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.15746721829584195,0.15902539497112034
vocab_coverage,0.118663481842824,0.19912542435224823,0.18361542148694995,0.18685578103292744
ave_readability,0.0374561632857309,0.04117640459361212,0.052367671858930535,0.05260564030180022
ave_readability2,0.03807432522229074,0.04203732214719756,0.03823176756415284,0.03878961562599982
length,1276.129,1466.969,4708.711,4585.824
min,0.5672,0.6954301075268816,0.5350914205344585,0.5551336146272855
max,0.0,0.0,0.0027426160337552736,0.0027426160337552736
mean,0.037456163285730835,0.04117640459361205,0.05236767185893056,0.05260564030180025
std,0.08254094395940272,0.09926191417493842,0.10330830509054904,0.10533846780482352
q1,0.05135000000000001,0.05426747311827956,0.06814345991561181,0.06882911392405064
median,0.004566666666666658,0.002856182795698921,0.015119549929676504,0.014978902953586488
q3,0.000549999999999999,0.00038642473118279434,0.006926863572433191,0.007208157524613219
FRE,25.16054,31.160550000000004,137.63461999999998,138.49844000000002
SMOGI,3.313,6.1484,4.3385,4.4483
FKGL,4.362799999999999,5.147,29.783600000000003,29.820800000000002
CLI,7.001,9.265039999999999,115.81056000000002,119.19991
ARI,8.4208,10.364799999999999,184.36870000000002,189.352
DCRS,2.06011,2.0498499999999997,19.809549999999998,19.871539999999996
LWF,4.858483572898549,5.358696627065745,7.638590050791423,7.729768443516866
GFI,3.5041499999999997,3.95489,19.733810000000002,19.62785
DW,21.168,25.9,21.001,21.634
TS,4.221,4.208,18.073,18.077
FH,18.584090000000003,22.734090000000002,110.24254,110.76297
SP,18.875400000000003,22.944209999999998,110.71959,111.29968
GP,12.162709999999999,15.26731,206.43165,211.96415
CF,1.3781999999999999,1.8360999999999998,5.709899999999999,5.7755
NERF,2.9508915586183626,5.081429560614864,17.821944742736385,18.069695346093667
