,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5896503416122802
vocab_coverage,0.5812540428610289
ave_readability,4.92255546604595
ave_readability2,4.919489382821104
length,6134.99
min,4.184880450070324
max,4.997257383966244
mean,4.92255546604595
std,0.15137477527242502
q1,4.9220112517580885
median,4.985021097046415
q3,4.993073136427568
FRE,-52.235510000000005
SMOGI,8.9867
FKGL,33.7565
CLI,121.32964000000001
ARI,192.0652
DCRS,18.74666
LWF,11.690968433697945
GFI,22.43735
DW,17.791
TS,21.846
FH,7.1365300000000005
SP,-3.406190000000006
GP,-160.46721
CF,6.5146
NERF,9.681970159541915
