,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.07423959288844725,0.07889647653454879
vocab_coverage,0.024151644244843163,0.05844893437870582,0.08154457160008706,0.08887649507547211
ave_readability,0.0030365155359448554,0.0035381546699778947,0.005177975955894199,0.005318799425583723
ave_readability2,0.002703156850151048,0.003358981936584785,0.0023272277017025124,0.002487542356297693
length,6521982.479,6956971.053,29283403.178,25938917.574
min,0.61456,0.8068189964157706,0.5442109405745769,0.554250231206236
max,0.0,0.0,0.0005299750754296213,0.0005337561104505223
mean,0.003036515535944849,0.0035381546699778865,0.005177975955894193,0.0053187994255837175
std,0.012484671683655933,0.017975583095998844,0.01476898909152447,0.015386780277375132
q1,0.007689166666666674,0.007736335125448034,0.017345205299750758,0.016368410622275068
median,0.0008122222222222214,0.00042674731182795695,0.005370589006952644,0.005755053507728896
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0005667060212514763,0.0010992205046901848
FRE,1866.7714674000001,2304.9543199,11154.4779714,11339.72002
SMOGI,26.415239999999997,61.85378000000001,34.98358,36.33389
FKGL,73.08042,59.03482000000001,563.5068700000002,566.34725
CLI,145.3586796,199.05134239999998,859.5088284,4316.028077100001
ARI,219.31806,222.17128,1227.41772,3498.4538000000002
DCRS,10.0381601,9.533164300000001,60.7648416,60.3789942
LWF,56.92100286916948,56.45665412173089,76.25010511038427,72.58912564753192
GFI,56.081009300000005,31.282035700000005,395.79434720000006,395.94681970000005
DW,1086.572,1335.572,786.713,852.701
TS,72.759,36.182,347.189,347.865
FH,1069.1789931,1201.4244149,7024.137964400001,7111.9042613
SP,1113.7845249999998,1218.3118075000002,6157.236966200001,6214.7271507000005
GP,442.67833830000006,542.2180357,2510.4104999,12166.2599298
CF,5.320819999999999,8.46301,16.01252,16.76445
NERF,15.600087092714562,36.61644056659991,166.01343504197683,183.79163575542148
