,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7461666495688142
vocab_coverage,0.78784192803549
ave_readability,4.929115083611717
ave_readability2,4.916411139576025
length,633.858
min,4.0808
max,5.0
mean,4.929115083611717
std,0.17433481924904204
q1,4.955516666666668
median,5.0
q3,5.0
FRE,60.0367
SMOGI,10.450899999999997
FKGL,9.896700000000001
CLI,10.180470000000001
ARI,12.1038
DCRS,8.585030000000001
LWF,11.641022854922854
GFI,11.052539999999999
DW,18.188
TS,10.11
FH,96.67247
SP,93.64219
GP,42.00967
CF,2.7986999999999997
NERF,2.3025998246941883
