,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.547745613087963
vocab_coverage,0.5689712268195328
ave_readability,4.921308662410803
ave_readability2,4.911446272248912
length,971.589
min,4.0176196526895405
max,4.997035154595511
mean,4.921308662410802
std,0.1794450047595989
q1,4.942143159678119
median,4.9949174078780185
q3,4.996569250317662
FRE,78.47718999999972
SMOGI,8.225600000000004
FKGL,5.985200000000015
CLI,7.579799999999969
ARI,13.413299999999996
DCRS,7.973529999999998
LWF,8.445018144355647
GFI,8.562189999999998
DW,18.607
TS,8.366
FH,111.34344999999962
SP,70.26937000000002
GP,28.786370000000012
CF,1.9212000000000002
NERF,2.1679665514468014
