,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6784880526095228
vocab_coverage,0.7066586166329353
ave_readability,4.923274817652734
ave_readability2,4.908462693856461
length,1965.053
min,3.8028666666666666
max,5.0
mean,4.923274817652734
std,0.19502552449899627
q1,4.953666666666668
median,4.999733333333333
q3,5.0
FRE,49.23097
SMOGI,12.005900000000002
FKGL,11.0133
CLI,14.091
ARI,16.8764
DCRS,8.110719999999999
LWF,11.47786751026751
GFI,9.93538
DW,35.152
TS,10.857
FH,89.48191
SP,86.10303
GP,35.60141
CF,3.3436999999999997
NERF,4.200310332177283
