,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5871708762816407
vocab_coverage,0.5953864725297655
ave_readability,4.915166468948486
ave_readability2,4.907688292684487
length,5014.724
min,3.9190626093039524
max,4.999790136411333
mean,4.915166468948486
std,0.19690398647812515
q1,4.929538300104932
median,4.995837705491431
q3,4.99818118223155
FRE,33.697520000000004
SMOGI,10.659
FKGL,13.5364
CLI,20.22203
ARI,26.2801
DCRS,6.10069
LWF,9.856562709663336
GFI,9.5342
DW,22.633
TS,12.299
FH,78.02765
SP,64.48543
GP,19.58242
CF,3.9995
NERF,2.181259192426421
