,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5977089749138477
vocab_coverage,0.5909230263742418
ave_readability,4.922198181819101
ave_readability2,4.917914251961023
length,5879.537
min,4.1805702217529035
max,4.997676874340021
mean,4.922198181819102
std,0.1504624800173435
q1,4.919834565293911
median,4.983878915874692
q3,4.991763463569166
FRE,-46.93581
SMOGI,8.9991
FKGL,30.74
CLI,107.04065000000001
ARI,163.57360000000003
DCRS,18.417859999999997
LWF,11.246114694947734
GFI,18.79636
DW,16.926
TS,22.524
FH,13.64562
SP,2.429609999999999
GP,-133.53632000000002
CF,6.759399999999999
NERF,8.855486192176816
