,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6384394137505998
vocab_coverage,0.6584364059802557
ave_readability,4.9272746875090405
ave_readability2,4.916360401847397
length,2802.091
min,3.9150997150997155
max,5.0
mean,4.9272746875090405
std,0.18480133245551952
q1,4.955893874643875
median,4.9997150997151
q3,5.0
FRE,59.502320000000005
SMOGI,10.585899999999999
FKGL,8.968599999999999
CLI,12.704279999999999
ARI,16.0745
DCRS,6.7157800000000005
LWF,9.730435258695554
GFI,8.396180000000001
DW,24.639
TS,9.75
FH,97.49682000000001
SP,81.04056
GP,32.518060000000006
CF,3.0473000000000003
NERF,2.823984313677456
