,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5625513524971593
vocab_coverage,0.5664981721470951
ave_readability,4.9162851585582406
ave_readability2,4.914048697197755
length,5745.329
min,4.14935064935065
max,4.997546897546898
mean,4.9162851585582406
std,0.1660255051228789
q1,4.911760461760462
median,4.988816738816739
q3,4.994318181818182
FRE,-3.91492
SMOGI,8.785
FKGL,21.3691
CLI,44.05082
ARI,53.470600000000005
DCRS,6.52366
LWF,9.323028237533022
GFI,13.51946
DW,16.49
TS,14.625
FH,48.22486
SP,32.037310000000005
GP,-25.616729999999997
CF,5.3168
NERF,3.8434864106956868
