,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5653550441223122
vocab_coverage,0.5777049644250944
ave_readability,4.919323864632481
ave_readability2,4.915800848559695
length,5307.613
min,4.186977432482427
max,4.995930447650758
mean,4.919323864632481
std,0.15639687262678856
q1,4.91851646318905
median,4.985090640029598
q3,4.990492045874954
FRE,-1.6486299999999974
SMOGI,8.206
FKGL,20.9999
CLI,43.57471
ARI,53.1325
DCRS,6.84821
LWF,9.35488515462264
GFI,13.575420000000001
DW,14.961
TS,15.2
FH,49.894239999999996
SP,29.86258
GP,-26.51599
CF,5.275900000000001
NERF,2.371747644064648
