,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.15233993873096416,0.16632272948613963
vocab_coverage,0.12130723287609738,0.21408958060750063,0.17751197608610375,0.19269570543718223
ave_readability,0.03903436392259056,0.04386997116151802,0.053711015945769235,0.055767927774744465
ave_readability2,0.039552071940086496,0.04404586692490192,0.04165045463921722,0.04334623339396835
length,1243.833,1405.247,4457.702,4140.082
min,0.569,0.6967741935483871,0.5219336219336219,0.5462819089900111
max,0.0,0.0,0.0024531024531024522,0.004069552349241582
mean,0.03903436392259053,0.043869971161517994,0.053711015945769214,0.05576792777474447
std,0.0854851740178641,0.1043243705958571,0.10810860464187426,0.11161505195392481
q1,0.053300000000000014,0.05631720430107527,0.07478354978354977,0.07386237513873474
median,0.004699999999999992,0.0029233870967741893,0.01139971139971139,0.015279319274879754
q3,0.000549999999999999,0.00038642473118279434,0.005681818181818181,0.009507954125046243
FRE,25.87793,32.89244,97.3388,103.60587
SMOGI,3.5262,6.29,4.5766,5.045599999999999
FKGL,4.575,5.5506,18.853199999999998,19.841
CLI,7.205679999999999,9.5999,40.04666,41.61121000000001
ARI,8.7275,11.171700000000001,47.103199999999994,48.3655
DCRS,2.10432,2.1217799999999998,7.95258,8.33643
LWF,5.570793091579417,6.203120692147922,6.812655755125133,7.533388664875343
GFI,3.65186,4.145519999999999,11.70815,11.80723
DW,19.856,23.558,17.76,18.817
TS,4.398,4.517,11.211,12.244
FH,19.190160000000002,24.152260000000002,75.18718,79.7683
SP,19.59676,24.477330000000002,73.93819,78.00751999999999
GP,12.504700000000001,16.01782,71.31823999999999,73.62733999999999
CF,1.4206999999999999,1.9212,4.2466,4.5185
NERF,2.8949988845152066,4.782030113744171,10.719394967495667,11.141620835970054
