,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6934679611821764
vocab_coverage,0.7379832643101529
ave_readability,4.937625166801284
ave_readability2,4.926723441583696
length,2211.19
min,4.074563242487771
max,5.0
mean,4.937625166801284
std,0.16451830320280791
q1,4.970143256464011
median,4.999231306778476
q3,4.999860237596087
FRE,63.86796
SMOGI,9.613100000000001
FKGL,8.7396
CLI,11.017190000000001
ARI,14.2099
DCRS,6.79106
LWF,9.486605721566015
GFI,9.01984
DW,18.565
TS,9.323
FH,100.13753
SP,87.623
GP,36.52747
CF,2.6415
NERF,1.6100264997441418
