,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6018929778624976
vocab_coverage,0.6150069731424039
ave_readability,4.9257676340045125
ave_readability2,4.917417359755733
length,5553.601
min,3.979162191192266
max,4.999283924095954
mean,4.9257676340045125
std,0.17498907786132076
q1,4.94436090225564
median,4.9955245255997145
q3,4.99889008234873
FRE,48.17744
SMOGI,9.8854
FKGL,10.735299999999999
CLI,17.64153
ARI,21.6635
DCRS,4.85567
LWF,8.731923964760728
GFI,7.94981
DW,21.335
TS,9.913
FH,89.23857
SP,71.41608
GP,22.92555
CF,3.4282999999999997
NERF,1.1623975192941387
