,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5877441227919804
vocab_coverage,0.6164261705508655
ave_readability,4.9231732372673065
ave_readability2,4.904363873066869
length,7059.423
min,3.7889887640449436
max,5.0
mean,4.9231732372673065
std,0.1948845153834825
q1,4.950000000000001
median,4.998501872659176
q3,4.999775280898876
FRE,57.04479
SMOGI,10.066900000000002
FKGL,9.9694
CLI,12.817950000000002
ARI,18.348800000000004
DCRS,5.315799999999999
LWF,8.774997992513162
GFI,8.768919999999998
DW,33.874
TS,10.204
FH,94.95467
SP,70.6282
GP,27.74844
CF,3.1527
NERF,1.520715374253859
