,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6127362730808186
vocab_coverage,0.6467918068973662
ave_readability,4.928826077697222
ave_readability2,4.908366020519275
length,6376.84
min,3.838386123680241
max,5.0
mean,4.928826077697222
std,0.18377838316707568
q1,4.956881598793364
median,4.9985671191553545
q3,4.999773755656109
FRE,61.13191
SMOGI,9.755
FKGL,9.599
CLI,11.559599999999998
ARI,17.049300000000002
DCRS,4.98737
LWF,8.575652668246786
GFI,9.03076
DW,30.293
TS,9.987
FH,97.61078
SP,72.20997
GP,29.145970000000002
CF,2.9486000000000003
NERF,0.6544463539212232
