,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.35370623925210537,0.3215658567447885
vocab_coverage,0.414328533088654,0.06818781775954379,0.3091484358356653,0.2882185845433014
ave_readability,0.33593540426172885,0.14531307155794615,0.39264446414485715,0.353765155483397
ave_readability2,0.2197941871037,0.11404416535716244,0.4012198419596659,0.3805988754747196
length,0.20331662964776673,0.056111852808006554,-0.057312957747213296,-0.050869175003512526
min,0.20322299781888456,0.10666542282061989,0.4289869452625481,0.39551631459404685
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.39257489360528,0.3537099278565445
std,0.3064443939757234,0.15193795605750574,0.38837217803668134,0.35149060314131736
q1,0.2632039464305018,0.08522671190608404,0.3154874210763532,0.274018253358403
median,0.0472737590370219,-0.011675591444616133,0.03165019649880373,0.035884042965197885
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.18208748156504928,0.11631493500618972
SMOGI,0.2745559648838505,0.0719778733300166,0.2383005645059903,0.1637038802920601
FKGL,0.383874427016929,0.06611174185783393,0.19998054407339744,0.14652592231185277
CLI,0.47317885785446057,0.05893689007466869,0.15076305614278396,0.07752735507102547
ARI,0.35444417602391154,0.029674275844258538,0.10271057263069254,0.055981395523528904
DCRS,0.3221225237527889,0.06335199932027592,-0.0073363968245706394,-0.020192098013710087
LWF,0.30043190427389826,0.08523003716030537,0.2973867405847465,0.22906940786607363
GFI,0.346821189436018,0.08984716406590001,0.23923029194780732,0.20227420971348525
DW,0.2623649857166233,0.11865496370294666,0.22697698916876416,0.1953102630642002
TS,0.2852983600314456,0.04520060228262305,0.16183140212769434,0.13459948015062334
FH,0.40966112842751395,0.06495005931607893,0.18427152500457938,0.12226524587753575
SP,0.4253785339567737,0.07317023458399322,0.2805298272601397,0.1904031520146528
GP,0.4461324467925549,0.04701173826078944,0.25392554260497874,0.16276994941392053
CF,0.44689430074791964,0.09384103699781103,0.2386932426572132,0.16480648457452818
NERF,0.24541893615519295,-0.00913147669295934,0.14007939454515944,0.10124659625261091
