,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.08815228468929857,0.12060527032547486
vocab_coverage,0.1186890198694308,0.20082260317036527,0.12250097247267701,0.1751370623880038
ave_readability,0.03775888471168734,0.04114335017773548,0.026569214125182896,0.030006882064982178
ave_readability2,0.03861245925205582,0.0420446792660767,0.02451933780320198,0.0270168258248855
length,1273.513,1462.263,841.59,915.029
min,0.5672,0.6954301075268816,0.39906385824139085,0.46907388833166164
max,0.0,0.0,0.0,0.0
mean,0.03775888471168732,0.04114335017773544,0.026569214125182837,0.030006882064982136
std,0.08279392402477956,0.0997869864667308,0.06250012050017058,0.07139991879832519
q1,0.05351666666666667,0.053713037634408586,0.035322634570377785,0.0373620862587763
median,0.004499999999999992,0.0027889784946236525,0.0006686726847208277,0.0006686726847208277
q3,0.000549999999999999,0.00038642473118279434,6.686726847208268e-05,6.686726847208268e-05
FRE,25.183580000000003,31.30369,17.37261,21.29072
SMOGI,3.313,6.1484,1.7362,1.891
FKGL,4.359,5.1512,3.0167,3.3836
CLI,7.015149999999999,9.289390000000001,4.913570000000001,6.594360000000001
ARI,8.4346,10.378,5.5466999999999995,6.897
DCRS,2.0793900000000005,2.03261,1.9053499999999999,2.14488
LWF,4.829290442701806,5.348958475223981,4.169367893420164,4.186362142226912
GFI,3.5047699999999997,3.95621,2.36213,2.71206
DW,20.715,25.203,13.214,15.511
TS,4.262,4.251,3.184,3.282
FH,18.578480000000003,22.808619999999998,12.805779999999999,15.228560000000002
SP,18.885540000000002,23.07289,12.734530000000001,15.325099999999999
GP,12.187899999999999,15.3064,8.398629999999999,10.953649999999998
CF,1.3822,1.8459,0.8791,1.0800999999999998
NERF,2.9116540551247816,4.998088325281693,3.6191581863509037,4.7383463551612675
