,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.3901423657176863
vocab_coverage,0.39970142717076784
ave_readability,4.9230078308554495
ave_readability2,4.915871249256162
length,3715.749
min,4.161769352290679
max,4.999052132701422
mean,4.923007830855452
std,0.16203242033636436
q1,4.929067930489743
median,4.988836229594527
q3,4.997656661400738
FRE,62.23909999999933
SMOGI,5.7653000000000025
FKGL,9.770300000000015
CLI,26.185479999999934
ARI,39.585399999999986
DCRS,5.755469999999994
LWF,6.169735197480964
GFI,10.05487000000001
DW,11.024
TS,10.673
FH,97.96717999999908
SP,20.348790000000026
GP,-20.39307999999997
CF,3.4526
NERF,2.814295987708519
