,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5862853207146623
vocab_coverage,0.6115194004513871
ave_readability,4.926067029933472
ave_readability2,4.913445995389056
length,4960.792
min,4.023172103487065
max,4.996700412448444
mean,4.926067029933472
std,0.16908242723754327
q1,4.945481814773155
median,4.992800899887515
q3,4.996137982752157
FRE,44.848699999999994
SMOGI,8.919099999999998
FKGL,12.494399999999999
CLI,17.99571
ARI,37.522600000000004
DCRS,6.526629999999999
LWF,9.118936909299642
GFI,10.49812
DW,21.444
TS,11.26
FH,85.31247999999998
SP,66.2784
GP,19.903089999999995
CF,3.3596999999999997
NERF,2.0712609846557353
