,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.515497673696328
vocab_coverage,0.5181080852922126
ave_readability,4.922788450324229
ave_readability2,4.919778704340005
length,4715.437
min,4.103084072665819
max,4.998310097169414
mean,4.922788450324229
std,0.16454217614934893
q1,4.930397127165203
median,4.990916772285596
q3,4.997338403041826
FRE,15.357460000000033
SMOGI,7.3873999999999995
FKGL,23.597899999999925
CLI,20.413399999999932
ARI,46.29929999999996
DCRS,6.6328999999999985
LWF,10.98397181854316
GFI,21.74735000000003
DW,16.41
TS,16.852
FH,55.933739999999666
SP,9.808570000000003
GP,-6.6273
CF,3.8832000000000066
NERF,18.986030929234772
