,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.12412162865725535,0.14958755095339973
vocab_coverage,0.024152223614605516,0.059231041773348765,0.12670988779866332,0.1517334966689094
ave_readability,0.0030761070407351984,0.0035466836140851925,0.007185251428638929,0.007588530498372562
ave_readability2,0.002771061404065299,0.0033795287682829803,0.00455474947790251,0.004815237788265092
length,6513301.835,6940694.505,37687983.681,33877266.891
min,0.61456,0.8068189964157706,0.6394263363754888,0.7618341158059468
max,0.0,0.0,0.0011878893234825443,0.0009264475743348978
mean,0.0030761070407351893,0.003546683614085185,0.007185251428638921,0.007588530498372556
std,0.012562704955549989,0.018143152663355484,0.017731630112907525,0.02150405269500271
q1,0.008373055555555562,0.00804015456989248,0.022286324786324793,0.02126643192488263
median,0.0008077777777777769,0.00042226702508960573,0.004270606982471389,0.004721439749608763
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0013758510792409098,0.0015950704225352111
FRE,1868.4335942000002,2320.9553353,67939.0951381,108106.98418479999
SMOGI,26.415239999999997,61.85378000000001,59.96213,75.18392000000001
FKGL,73.18932000000001,59.18826,4058.58079,3991.6430599999994
CLI,145.9805387,200.2858873,10931.268810599999,106854.6324392
ARI,219.92665999999997,223.08426,129115.46044999996,10369332.175000003
DCRS,10.2064293,9.4360725,101.66438120000001,244.16308520000007
LWF,56.808746358307964,56.4255585549628,161.94473776123846,247.67992445835577
GFI,56.13865749999999,31.2654219,3223.8492919999994,2197.1584682
DW,1063.903,1293.141,1013.285,1106.896
TS,73.696,38.077,1043.178,1691.707
FH,1070.3802044000001,1208.5059562,45123.64696079999,62036.54218
SP,1115.7039180000002,1229.2866849,44166.7063189,62762.4334813
GP,444.38662000000005,545.5799554000001,32855.9207031,301438.2713791999
CF,5.3488999999999995,8.54011,135.92234,277.03044
NERF,15.28471641180302,35.71669351802086,1054.0760119722886,928.4824114836935
