,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7351454486101395
vocab_coverage,0.7855008726602518
ave_readability,4.924747533298078
ave_readability2,4.899086952846982
length,1595.254
min,3.7273273273273273
max,5.0
mean,4.924747533298078
std,0.1939654851877264
q1,4.9559726393059735
median,4.9997997997998
q3,5.0
FRE,55.24337
SMOGI,12.1415
FKGL,10.6355
CLI,11.330540000000001
ARI,13.781
DCRS,7.7731
LWF,12.424520282495283
GFI,10.79885
DW,33.43
TS,10.698
FH,93.18963000000001
SP,89.8995
GP,39.91874000000001
CF,3.0692
NERF,2.9983759814825115
