,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6963351232400111
vocab_coverage,0.7325010824876985
ave_readability,4.919021060863038
ave_readability2,4.8953904254647975
length,2018.452
min,3.664731398064731
max,5.0
mean,4.919021060863039
std,0.20451409020423658
q1,4.9470303636970305
median,4.9997997997998
q3,5.0
FRE,49.26161999999999
SMOGI,12.3128
FKGL,11.097299999999999
CLI,13.59446
ARI,16.0553
DCRS,7.972480000000001
LWF,12.20462430902431
GFI,10.23242
DW,38.424
TS,11.055
FH,89.3954
SP,85.82024
GP,36.36489999999999
CF,3.3846
NERF,4.149023886933238
