,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7247768321496932
vocab_coverage,0.7798696162708635
ave_readability,4.9343810820588505
ave_readability2,4.919975539718953
length,1541.058
min,3.963691073219659
max,4.999598796389168
mean,4.9343810820588505
std,0.1710442357594041
q1,4.967836843864929
median,4.999398194583751
q3,4.999598796389168
FRE,7.940279999999992
SMOGI,11.4024
FKGL,17.193300000000004
CLI,59.239239999999995
ARI,65.7151
DCRS,9.86673
LWF,11.81110037878788
GFI,11.45391
DW,26.7
TS,16.982
FH,59.690369999999994
SP,55.3009
GP,-40.34246000000001
CF,5.6962
NERF,2.341927387321396
