,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.4813751914669847
vocab_coverage,0.49950208587044337
ave_readability,4.920176670160454
ave_readability2,4.9158865658766215
length,3133.749
min,4.211668928086839
max,4.99846223428313
mean,4.920176670160454
std,0.1661261977574463
q1,4.930483943916781
median,4.989597467209408
q3,4.996517412935323
FRE,64.95550999999999
SMOGI,5.7468
FKGL,10.166900000000002
CLI,21.377239999999997
ARI,55.8764
DCRS,6.88264
LWF,7.475683427226014
GFI,11.611559999999999
DW,10.758
TS,10.363
FH,98.97334
SP,42.77281
GP,-4.094550000000002
CF,2.6065
NERF,2.8921899583045088
