,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.3432811555962482,0.311196071842895
vocab_coverage,0.41887899241028703,0.07135301624166532,0.3283603834426608,0.3058050666992173
ave_readability,0.3372215583626106,0.14522878120423247,0.3894923178260844,0.37709690673841983
ave_readability2,0.21949130932398206,0.11463578660467744,0.39513195433208625,0.42311414260775626
length,0.20331662964776673,0.056111852808006554,0.01566994173451054,0.04981861723143901
min,0.20307709654470923,0.10691918088844313,0.38054177085424684,0.39061239527057645
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.3895080484517939,0.37712433340599893
std,0.30543621283748684,0.1514802399838029,0.4125163691405968,0.386154750860216
q1,0.2849419062433839,0.10435940320922431,0.27400404070967094,0.2635459629849205
median,0.03599713465958862,-0.013828764111056139,0.03092186095826918,0.03285514411964539
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.27512826957064945,0.23615013171467042
SMOGI,0.2650309906890334,0.06780222024833282,0.28764266198300525,0.25386066831530074
FKGL,0.38717821908219846,0.07177723681600512,0.259579475718994,0.23961891907885727
CLI,0.47234194457037826,0.05839750542973789,0.3217334821494579,0.26768112087999774
ARI,0.35220688125458754,0.025870335412644142,0.19553191940763323,0.17100065091098557
DCRS,0.32478908740171236,0.0631761113651378,0.12212804215001845,0.09325291980283074
LWF,0.30135965094685147,0.07940047095622464,0.2831131815289796,0.22315978924513571
GFI,0.3477660214736181,0.08523394177503286,0.21776514811084957,0.17497191465187575
DW,0.26142344985080795,0.11832340374469467,0.35668692358725196,0.35228825099559163
TS,0.27896932618583836,0.04789518082271578,0.244363188101567,0.23232844991591034
FH,0.4146209079598439,0.07030903092237745,0.2684412821975631,0.2373215318635712
SP,0.42417886122915494,0.07180807550945881,0.27604447171851487,0.22410056620253246
GP,0.44354979855085125,0.044331334143020144,0.2647553920028248,0.19932539830256418
CF,0.4471954692668192,0.09386954175867059,0.35967818962212117,0.3125929592952601
NERF,0.24811129485562874,-0.0032010577484386698,0.13035239297402024,0.12207621421565162
