,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5618820850292228
vocab_coverage,0.5871082203252418
ave_readability,4.923190278277303
ave_readability2,4.915165749446046
length,5979.621
min,4.084596229099964
max,4.9997154037709
mean,4.923190278277303
std,0.16820657599410754
q1,4.935058697972252
median,4.992280327285664
q3,4.998327997154039
FRE,19.118550000000003
SMOGI,9.3294
FKGL,19.5187
CLI,22.06279
ARI,36.8198
DCRS,5.0007600000000005
LWF,10.264266480255902
GFI,15.15955
DW,18.707
TS,13.402
FH,62.91622
SP,46.56824
GP,9.380330000000002
CF,3.9363999999999995
NERF,10.320553502511995
