,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.732321710089169
vocab_coverage,0.7814491367772826
ave_readability,4.932756385471052
ave_readability2,4.916131762203191
length,1285.615
min,3.9241333333333333
max,5.0
mean,4.932756385471053
std,0.17613856391886712
q1,4.9662500000000005
median,4.999866666666667
q3,5.0
FRE,58.864290000000004
SMOGI,11.4361
FKGL,9.983799999999999
CLI,10.86144
ARI,13.1961
DCRS,7.88558
LWF,11.496864511713778
GFI,10.43113
DW,26.461
TS,9.952
FH,95.93514
SP,92.78782999999999
GP,40.89156
CF,2.8533000000000004
NERF,2.766219404843031
