,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6840480198079995
vocab_coverage,0.712104538589635
ave_readability,4.924645135157516
ave_readability2,4.91106963738211
length,1723.086
min,3.8435333333333337
max,5.0
mean,4.924645135157518
std,0.1911897108832342
q1,4.953683333333334
median,4.999866666666667
q3,5.0
FRE,50.720850000000006
SMOGI,11.805200000000001
FKGL,10.6396
CLI,13.84539
ARI,16.244699999999998
DCRS,8.203479999999999
LWF,11.287817675216939
GFI,9.73324
DW,32.108
TS,10.348
FH,90.73891
SP,87.32534
GP,36.191770000000005
CF,3.2733000000000003
NERF,4.183247308875452
