,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6857475200249742
vocab_coverage,0.7481768025977077
ave_readability,4.895713319360355
ave_readability2,4.847958448541234
length,1233.771
min,3.6002666666666663
max,5.0
mean,4.895713319360355
std,0.23768721545204902
q1,4.911433333333334
median,4.999933333333334
q3,5.0
FRE,39.074510000000004
SMOGI,14.5271
FKGL,13.211200000000002
CLI,14.28437
ARI,16.3121
DCRS,9.650099999999998
LWF,13.156964223276724
GFI,13.79932
DW,43.851
TS,13.487
FH,81.33616
SP,77.85613000000001
GP,34.82522
CF,4.013
NERF,5.05257262933676
