,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7196185052056505
vocab_coverage,0.7772004438731035
ave_readability,4.92153051970787
ave_readability2,4.895790505049134
length,1091.584
min,3.900666666666667
max,5.0
mean,4.92153051970787
std,0.18846527264771593
q1,4.944250000000001
median,4.999933333333334
q3,5.0
FRE,53.41839
SMOGI,12.3231
FKGL,10.6292
CLI,11.48642
ARI,12.9218
DCRS,8.712849999999998
LWF,11.367037337662335
GFI,11.42556
DW,32.963
TS,11.007
FH,92.20865
SP,88.96730000000001
GP,40.05768
CF,3.214
NERF,3.6668057978613398
