,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.42256483663266214
vocab_coverage,0.4360341913147056
ave_readability,4.909824222906024
ave_readability2,4.90755683968925
length,3033.265
min,4.217151607963247
max,4.9957120980091885
mean,4.909824222906024
std,0.16868707099743432
q1,4.909239407861154
median,4.981163859111792
q3,4.991066870852476
FRE,74.00959
SMOGI,5.2343
FKGL,8.026600000000002
CLI,21.578650000000003
ARI,61.0643
DCRS,6.01862
LWF,6.347640976514676
GFI,9.944709999999999
DW,9.953
TS,10.091
FH,106.44307999999998
SP,32.71917
GP,-11.241510000000002
CF,2.5976999999999997
NERF,8.714853192459197
