,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.49150647484025967
vocab_coverage,0.5105313047586086
ave_readability,4.920259605648969
ave_readability2,4.911947291465915
length,2832.833
min,4.204329004329004
max,4.995497835497836
mean,4.920259605648969
std,0.16238997223152463
q1,4.932142857142857
median,4.987359307359307
q3,4.992878787878788
FRE,52.86514999999999
SMOGI,5.770899999999999
FKGL,11.3135
CLI,21.49296
ARI,34.960300000000004
DCRS,7.86469
LWF,7.017193046751579
GFI,11.18345
DW,11.56
TS,10.141
FH,91.05397
SP,41.21922
GP,-1.1115200000000005
CF,3.0197
NERF,0.4710035676647213
