,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.42733388326445365
vocab_coverage,0.4289714168044112
ave_readability,4.910966544890407
ave_readability2,4.904437655775166
length,5581.595
min,4.1044356609573995
max,4.998155467720685
mean,4.910966544890407
std,0.17480314334088184
q1,4.911638120333772
median,4.983311374615723
q3,4.994773825208608
FRE,23.124630000000003
SMOGI,7.5486
FKGL,18.8838
CLI,24.82804
ARI,46.162699999999994
DCRS,6.59809
LWF,8.599305465197054
GFI,15.98536
DW,16.636
TS,17.629
FH,65.82567
SP,13.243369999999999
GP,-11.703280000000001
CF,4.3763
NERF,3.7383812668751384
