,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01830216581404244,0.0430661015538707,0.13463319399713924,0.1355803878450975
vocab_coverage,0.024151644244843142,0.05844893437870576,0.13566883306480482,0.13715137832559368
ave_readability,0.0030365155359448563,0.0035381546699778978,0.003569848073795236,0.003575943110801362
ave_readability2,0.002703156850151047,0.0033589819365847954,0.002959694876828277,0.0029545995560273782
length,6521982.479,6956971.053,25102144.27,24100019.125
min,0.6145599999999991,0.8068189964157702,0.6627160493827163,0.6764035902197465
max,0.0,0.0,0.00014814814814814763,0.00014856081708449346
mean,0.0030365155359448576,0.003538154669977914,0.0035698480737953236,0.003575943110801443
std,0.012484671683655949,0.01797558309599885,0.016731991414181465,0.01707601924574022
q1,0.007689166666666653,0.007736335125448015,0.009594135802469105,0.009557412565769082
median,0.0008122222222222201,0.00042674731182795706,0.0022716049382716036,0.0022655524605385315
q3,7.583333333333307e-05,4.6202956989246985e-05,0.0005779320987654313,0.0005853450943980184
FRE,1866.7714674000013,2304.9543198999995,166784.2328282001,167432.52781229993
SMOGI,26.41524,61.853780000000036,72.39623999999998,73.55394999999997
FKGL,73.08042000000002,59.03482000000005,5341.423389999999,5352.395709999995
CLI,145.35867960000004,199.0513423999998,39412.36453579992,40305.772951099905
ARI,219.31805999999986,222.17128,67945.58483999994,68531.37847999982
DCRS,10.03816010000001,9.5331643,4915.923013100007,4916.344807600003
LWF,56.92100286916952,56.456654121730956,242.14404721832645,242.7385835721007
GFI,56.081009300000005,31.282035700000012,2410.815034700001,2408.536054000002
DW,1086.572,1335.572,1098.518,1104.426
TS,72.759,36.182,3154.791,3139.264
FH,1069.1789930999994,1201.4244148999994,92360.28187929987,92680.64507569985
SP,1113.7845249999998,1218.3118075000007,95241.60808150022,95577.81743910021
GP,442.67833829999984,542.2180356999993,111892.37120549995,114385.87911399998
CF,5.320820000000008,8.463009999999995,475.17952999999994,477.1918299999999
NERF,15.600087092714574,36.61644056659991,3616.620277022045,3622.5753630202107
