,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.46959360609625356
vocab_coverage,0.4738664627078526
ave_readability,4.929270979069387
ave_readability2,4.921698846045582
length,4635.005
min,4.127314814814812
max,4.998333333333334
mean,4.929270979069391
std,0.1545981332617917
q1,4.939745370370383
median,4.991481481481483
q3,4.996620370370371
FRE,27.942870000000028
SMOGI,6.778200000000002
FKGL,19.204799999999885
CLI,22.115079999999903
ARI,47.05530000000002
DCRS,7.9650200000000035
LWF,9.52431532748298
GFI,17.414590000000015
DW,14.814
TS,16.098
FH,68.03783999999962
SP,7.554530000000001
GP,-12.081490000000024
CF,4.115000000000003
NERF,13.450953540688142
