,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5887766349476644
vocab_coverage,0.6159534827146466
ave_readability,4.9279433611592856
ave_readability2,4.921477086792448
length,5455.588
min,4.10766993820429
max,4.999491094147582
mean,4.927943361159286
std,0.16118743595488189
q1,4.940385314431117
median,4.993129770992367
q3,4.99703744093057
FRE,-46.292910000000006
SMOGI,8.7676
FKGL,27.7078
CLI,45.656510000000004
ARI,58.8798
DCRS,6.832169999999999
LWF,9.87417847178478
GFI,13.648060000000001
DW,18.477
TS,16.091
FH,17.653459999999992
SP,-3.8825400000000116
GP,-30.116899999999998
CF,8.0351
NERF,5.356931614278685
